ablation_variant,seed,team_reward,event_recall_pct,mean_aoi,p95_aoi,overlap_steps,samples_executed,final_battery_mean
Full MARL Policy,1001,-715.5000000000026,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1002,-553.4999999999986,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1003,-652.5000000000014,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1004,-694.5000000000022,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1005,-592.5000000000001,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1006,-763.5000000000019,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1007,-637.5000000000003,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1008,-586.5,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1009,-634.5000000000003,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1010,-637.5000000000022,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1011,-604.5,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1012,-667.5000000000016,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1013,-676.5000000000009,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1014,-658.5000000000017,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1015,-691.5000000000028,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1016,-592.4999999999991,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1017,-565.4999999999994,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1018,-679.5000000000014,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1019,-553.4999999999987,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1020,-712.5000000000033,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1021,-649.5000000000014,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1022,-700.5000000000016,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1023,-652.5000000000015,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1024,-619.5000000000008,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1025,-724.5000000000019,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1026,-766.5000000000028,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1027,-691.5000000000014,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1028,-676.5000000000025,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1029,-610.5000000000008,0.0,144.5,274.0,0,0,0.9890500000000012
Full MARL Policy,1030,-604.5000000000007,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Neighbor Signal,1001,-715.5000000000026,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Neighbor Signal,1002,-553.4999999999986,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Neighbor Signal,1003,-652.5000000000014,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Neighbor Signal,1004,-694.5000000000022,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Neighbor Signal,1005,-592.5000000000001,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Neighbor Signal,1006,-763.5000000000019,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Neighbor Signal,1007,-637.5000000000003,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Neighbor Signal,1008,-586.5,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Neighbor Signal,1009,-634.5000000000003,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Neighbor Signal,1010,-637.5000000000022,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Neighbor Signal,1011,-604.5,0.0,144.5,274.0,0,0,0.9890500000000012
