policy,training_seed,environment_seed,scenario,regime,raw_episode_reward,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,samples_delivered,samples_requested,sample_rejections,channel_blocks,sleep_actions,sample_actions,sample_action_fraction,ablation,model_path
Full QMIX,101,1001,volatile,coordinated,6.776333333333385,0.42574257425742573,0.5742574257425743,15.14584000000007,27.869978979177933,0.017078825615322462,11.97482638888889,47.0,65.0,68.0,0.8952546296296298,0.3811480106343968,299,367,0,68,785,367,0.3185763888888889,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1002,volatile,coordinated,41.435999999999986,0.4681647940074906,0.5318352059925093,16.49584000000015,28.196069389932298,0.027519273536980707,10.778645833333334,46.0,65.0,73.0,0.9366319444444444,0.4384981013316687,326,398,0,72,754,398,0.3454861111111111,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1003,volatile,coordinated,-40.21000000000002,0.40625,0.59375,15.495840000000102,28.045742792782573,0.017233425354992175,10.05642361111111,43.0,62.0,50.0,0.921875,0.37451171875,306,359,0,53,793,359,0.3116319444444444,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1004,volatile,coordinated,-9.845000000000006,0.41818181818181815,0.5818181818181818,16.145840000000124,27.778055887166204,0.028684217399443775,10.502604166666666,45.0,65.0,81.0,0.8706597222222222,0.3640940656565656,319,404,0,85,748,404,0.3506944444444444,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1005,volatile,coordinated,-22.71100000000002,0.42016806722689076,0.5798319327731092,14.995840000000106,27.612860050191575,0.023066699735909767,11.3671875,47.0,65.0,61.0,0.8993055555555556,0.377859477124183,296,365,0,69,787,365,0.3168402777777778,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1006,volatile,coordinated,-82.29866666666666,0.3540856031128405,0.6459143968871595,15.245840000000088,27.73702749384593,0.014780991503274632,10.67361111111111,45.0,63.0,67.0,0.8605324074074074,0.30470213647499644,301,367,0,66,785,367,0.3185763888888889,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1007,volatile,coordinated,-73.2876666666667,0.35564853556485354,0.6443514644351465,16.045840000000133,27.847617605125972,0.013334326383854789,10.401041666666666,44.0,64.0,56.0,0.8640046296296295,0.3072819812490314,317,375,0,58,777,375,0.3255208333333333,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1008,volatile,coordinated,-102.25500000000005,0.31216931216931215,0.6878306878306879,14.995840000000124,27.8133897866608,0.010419291652209922,12.54079861111111,46.0,69.0,54.0,0.8784722222222222,0.27423206937095823,296,333,0,37,819,333,0.2890625,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1009,volatile,coordinated,-92.97933333333332,0.3251231527093596,0.6748768472906403,15.245840000000097,27.585351449882772,0.01740555767975498,11.752604166666666,47.0,64.0,48.0,0.8833912037037037,0.28721093322386426,301,348,0,47,804,348,0.3020833333333333,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1010,volatile,coordinated,4.8793333333333075,0.4449760765550239,0.5550239234449761,14.995840000000111,27.87536673639651,0.027563043390485244,11.622395833333334,47.0,67.0,70.0,0.9351851851851851,0.41613503455608714,296,346,0,50,806,346,0.3003472222222222,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1011,volatile,coordinated,-63.9210000000001,0.3755656108597285,0.6244343891402715,15.745840000000104,27.8041058670549,0.019724781243607867,10.995659722222221,45.0,61.0,64.0,0.8480902777777778,0.31851354323780795,311,378,0,67,774,378,0.328125,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1012,volatile,coordinated,-107.42566666666661,0.33955223880597013,0.6604477611940298,16.645840000000113,27.719253047701116,0.02351045427036275,10.948784722222221,47.0,61.0,74.0,0.8483796296296295,0.28806920259812047,329,410,0,81,742,410,0.3559027777777778,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1013,volatile,coordinated,-46.088000000000044,0.3872832369942196,0.6127167630057804,15.245840000000145,27.505443767934835,0.02329667016561863,12.011284722222221,49.450000000000045,65.0,49.0,0.9236111111111112,0.357699100834939,301,353,0,52,799,353,0.3064236111111111,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1014,volatile,coordinated,-9.127000000000008,0.4661016949152542,0.5338983050847458,14.595840000000084,27.16643055612605,0.012132293319084504,11.17361111111111,46.0,63.0,47.0,0.9583333333333334,0.446680790960452,288,326,0,38,826,326,0.2829861111111111,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1015,volatile,coordinated,1.7713333333333363,0.46835443037974683,0.5316455696202531,15.295840000000092,27.984652380248956,0.010294158542795476,10.716145833333334,45.0,64.0,54.0,0.9508101851851851,0.44531616268166896,302,341,0,39,811,341,0.2960069444444444,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1016,volatile,coordinated,2.225333333333328,0.43109540636042404,0.568904593639576,16.445840000000118,27.74034214332949,0.026677639547598733,10.499131944444445,45.0,65.0,74.0,0.8891782407407407,0.38332065501897655,325,426,0,101,726,426,0.3697916666666667,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1017,volatile,coordinated,-55.11733333333336,0.3745704467353952,0.6254295532646048,14.995840000000136,27.7096812165475,0.01032761155000753,11.473958333333334,46.0,65.0,89.0,0.8512731481481483,0.31886176339569816,296,389,0,93,763,389,0.3376736111111111,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1018,volatile,coordinated,72.58433333333325,0.53125,0.46875,17.59584000000016,27.811885286899123,0.028603784868124617,10.463541666666666,46.0,68.0,86.0,0.9551504629629631,0.5074236834490742,348,424,0,76,728,424,0.3680555555555556,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1019,volatile,coordinated,-45.47766666666664,0.38421052631578945,0.6157894736842106,14.44584000000009,28.392817341526957,0.02369222110296961,10.90625,45.0,63.0,61.0,0.9074074074074073,0.34863547758284597,285,356,0,71,796,356,0.3090277777777778,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1020,volatile,coordinated,-23.06166666666664,0.403921568627451,0.596078431372549,15.295840000000096,27.540248359265487,0.022590910901240935,11.371527777777779,46.0,65.0,61.0,0.9160879629629629,0.3700276870007262,302,367,0,65,785,367,0.3185763888888889,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1021,volatile,coordinated,-34.513666666666644,0.4008810572687225,0.5991189427312775,16.045840000000098,27.668333776553673,0.01072231336459295,11.894097222222221,46.0,62.0,57.0,0.8865740740740741,0.35541075216185347,317,370,0,53,782,370,0.3211805555555556,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1022,volatile,coordinated,-53.53766666666666,0.3671497584541063,0.6328502415458936,15.745840000000117,27.780487312650067,0.016402111068402912,11.75607638888889,48.0,69.0,51.0,0.8778935185185185,0.32231839327249956,311,354,0,43,798,354,0.3072916666666667,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1023,volatile,coordinated,-61.54766666666664,0.38144329896907214,0.6185567010309279,15.245840000000063,28.173412349677125,0.023796723688133715,10.604166666666666,43.450000000000045,60.0,76.0,0.8674768518518517,0.33089323214967536,301,374,0,73,778,374,0.3246527777777778,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
