policy,comparator,metric,n_pairs,advantage_mean,advantage_std,test,assumption,statistic,p_value,paired_cohens_dz,statistically_supported_0.05,practical_threshold_5pct_comparator,absolute_practically_meaningful,practical_outcome
IQL,Battery + Entropy,raw_episode_reward,30,-154.95525555555554,37.72153585694361,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-22.499743699097696,6.59370796619157e-20,-4.107872387360179,True,7.496180555555553,True,learned disadvantage
IQL,Battery + Entropy,event_recall,30,-0.15724220135170155,0.04757106490027822,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-18.10451392093864,2.3947249103762207e-17,-3.3054168890547984,True,0.030038286121624694,True,learned disadvantage
IQL,Battery + Entropy,total_energy_consumption,30,-4.584444444444556,0.6647376305707756,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-37.77435668408684,3.2391972246225535e-26,-6.896622417040137,True,0.5342919999999988,True,learned disadvantage
IQL,Battery + Entropy,mean_aoi,30,-2.64802276234568,0.7594181993777851,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-19.098591539052045,5.707902993956725e-18,-3.486909800838704,True,0.29730034722222215,True,learned disadvantage
VDN,Battery + Entropy,raw_episode_reward,30,-147.03938888888885,37.02160512338829,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-21.75399739363003,1.6621130251475694e-19,-3.9717183627999195,True,7.496180555555553,True,learned disadvantage
VDN,Battery + Entropy,event_recall,30,-0.14503501936414814,0.046042176360823805,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-17.253517972607227,8.624785455412618e-17,-3.1500469966392597,True,0.030038286121624694,True,learned disadvantage
VDN,Battery + Entropy,total_energy_consumption,30,-4.502222222222324,0.6816243464554057,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-36.17782555502565,1.105046275879649e-25,-6.6051370459914684,True,0.5342919999999988,True,learned disadvantage
VDN,Battery + Entropy,mean_aoi,30,-1.717312885802469,0.7814276391930114,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-12.037083904783358,8.406037838403655e-13,-2.1976607937440713,True,0.29730034722222215,True,learned disadvantage
QMIX,Battery + Entropy,raw_episode_reward,30,-125.54136666666665,32.16392531742251,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-21.378559284899733,2.675854645368969e-19,-3.9031730557670326,True,7.496180555555553,True,learned disadvantage
QMIX,Battery + Entropy,event_recall,30,-0.13399646801341975,0.04359787668974698,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-16.83405104318519,1.653825305378344e-16,-3.0734631635153007,True,0.030038286121624694,True,learned disadvantage
