policy,training_seed,event_recall_mean,event_recall_std,missed_event_rate_mean,missed_event_rate_std,total_energy_consumption_mean,total_energy_consumption_std,harvested_energy_mean,harvested_energy_std,final_battery_mean,final_battery_std,mean_aoi_mean,mean_aoi_std,p95_aoi_mean,p95_aoi_std,max_aoi_mean,max_aoi_std,redundant_sampling_mean,redundant_sampling_std,network_coverage_mean,network_coverage_std,network_utility_mean,network_utility_std,raw_episode_reward_mean,raw_episode_reward_std,sample_action_fraction_mean,sample_action_fraction_std
Always Sample,,0.3183505789529939,0.05128925398956122,0.6816494210470061,0.05128925398956118,19.33084000000019,0.23966571547140272,27.797536787343912,0.23205416788770475,0.021266346731382814,0.00449767572898832,8.890306712962964,0.43504367956555057,41.56000000000001,1.203471988700284,57.1,2.523680946007514,183.83333333333334,2.5472545509089612,0.8876929012345679,0.03681199130928724,0.28365976169028184,0.053839923395424226,-195.85977777777788,42.23141283999729,0.6383391203703703,0.007888569544924439
Always Sleep,,0.0,0.0,1.0,0.0,0.1958400000000021,0.0,27.797536787343912,0.23205416788770475,0.9875899999999997,0.0,144.5,0.0,274.0,0.0,288.0,0.0,0.0,0.0,0.673611111111111,0.07625816051775247,0.0,0.0,-373.9499999999981,78.16310863651775,0.0,0.0
Battery + Entropy,,0.6007657224324938,0.04679651229913885,0.39923427756750607,0.04679651229913881,10.68583999999998,1.0554783194167205,27.797536787343912,0.23205416788770475,0.22083049654105355,0.12086403172047398,5.946006944444445,0.871548718665852,21.745000000000005,5.125516794801586,41.266666666666666,10.047931107458384,46.36666666666667,7.9328358773815095,0.9546682098765431,0.027542025419188484,0.5745612298521426,0.05881961836951374,149.92361111111106,34.97506114034332,0.21206597222222223,0.025235104984798782
Entropy Threshold,,0.6112733995790076,0.04317569637904622,0.38872660042099233,0.04317569637904623,10.875839999999984,1.1210063213086392,27.797536787343912,0.23205416788770475,0.2075585964604388,0.13338154754182568,5.698379629629629,0.749466204392228,20.27833333333334,3.831734174183958,41.36666666666667,10.148834936814799,47.56666666666667,8.439167034126356,0.9595582561728394,0.025022712318259636,0.5873752835435673,0.05397723427208078,159.0325444444444,36.98673795049061,0.21637731481481481,0.026617919226093696
Fixed Interval,,0.08096313057866164,0.015062357586618294,0.9190368694213384,0.0150623575866183,4.995839999999857,0.0,27.797536787343912,0.23205416788770475,0.6696775759367444,0.00030333401895062264,5.4375,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.7538966049382716,0.05640264050432092,0.06102356541647783,0.012468939856571522,-253.2657777777774,57.926577475569395,0.08333333333333333,0.0
Greedy,,0.3183505789529939,0.05128925398956122,0.6816494210470061,0.05128925398956118,19.33084000000019,0.23966571547140272,27.797536787343912,0.23205416788770475,0.021266346731382814,0.00449767572898832,8.890306712962964,0.43504367956555057,41.56000000000001,1.203471988700284,57.1,2.523680946007514,183.83333333333334,2.5472545509089612,0.8876929012345679,0.03681199130928724,0.28365976169028184,0.053839923395424226,-195.85977777777788,42.23141283999729,0.6383391203703703,0.007888569544924439
IQL,101.0,0.45802047154775616,0.06013385137971063,0.5419795284522437,0.06013385137971061,14.37084000000008,0.9014117280401424,27.797536787343912,0.23205416788770475,0.029160984021451383,0.028913610994732823,8.473929398148147,0.9627380898526805,35.43833333333335,4.046085450316684,56.93333333333333,5.570447473719795,68.63333333333334,13.687354680906004,0.9237654320987654,0.03404323396883565,0.42464357492272564,0.06892001440886042,11.883611111111106,43.38744844606146,0.30486111111111114,0.02965476576375529
IQL,102.0,0.4093593947244296,0.059703593855673365,0.5906406052755704,0.05970359385567334,16.42917333333344,0.700656506592147,27.797536787343912,0.23205416788770475,0.020989731778215656,0.0071277784650658205,9.648987268518518,1.1124277429154183,41.18333333333335,3.5140931368864816,60.13333333333333,3.62684752760655,75.83333333333333,15.675773826432664,0.9081500771604938,0.03442114533396323,0.37323982927891336,0.0662004584461567,-38.20364444444444,43.19602409536089,0.35454282407407406,0.024690232265462703
IQL,103.0,0.4631906969701912,0.056673103826767636,0.5368093030298088,0.05667310382676763,15.010840000000087,0.8798657813004651,27.797536787343912,0.23205416788770475,0.0400605572885838,0.050080894793626596,7.659172453703704,0.9850801114512244,32.771666666666675,5.110683255038739,55.1,8.023027204069633,77.26666666666667,14.141973069513693,0.9307291666666667,0.031925213604049776,0.4325370308179892,0.06608037591318786,11.225100000000005,36.76200852747751,0.3238425925925926,0.032262890318120664
QMIX,101.0,0.4069229566680031,0.06164873310468809,0.5930770433319968,0.061648733104688096,15.504173333333444,0.7244597670147119,27.797536787343912,0.23205416788770475,0.019996100651322124,0.00668144506407907,11.041637731481481,0.6440325720078783,45.41166666666667,1.9165649648179983,64.26666666666667,2.4765567494675618,62.96666666666667,11.783926321062513,0.9037326388888889,0.037830045018734486,0.36948597019365254,0.06955868328682778,-33.047300000000014,46.03876844876005,0.31950231481481484,0.02299139232871572
