policy,environment_seed,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,raw_episode_reward,sample_action_fraction
Entropy Threshold,2001,0.6285714285714286,0.37142857142857144,9.1958399999999,27.789725214018684,0.12470339903514628,6.120659722222222,20.0,43.0,32.0,0.9759837962962963,0.613475529100529,116.15233333333335,0.17274305555555555
Entropy Threshold,2002,0.686046511627907,0.313953488372093,10.34583999999998,27.67998710577186,0.37634407384045665,5.442708333333333,18.0,35.0,46.0,0.9890046296296295,0.6785031761412574,179.18233333333328,0.203125
Entropy Threshold,2003,0.6274509803921569,0.37254901960784315,7.695839999999825,27.90966007891191,0.4857354571514131,6.717881944444445,21.450000000000045,44.0,32.0,0.9904513888888888,0.6214596949891067,71.12799999999996,0.15104166666666666
Entropy Threshold,2004,0.580110497237569,0.419889502762431,9.24583999999991,27.609434271665254,0.49158365133403886,6.225694444444445,21.0,37.0,36.0,0.9548611111111112,0.5539249539594844,115.65899999999996,0.1840277777777778
Entropy Threshold,2005,0.6606334841628959,0.3393665158371041,11.69584000000004,27.493943092734902,0.19672945730835634,4.556423611111111,14.0,29.0,51.0,0.9785879629629631,0.6464879755320933,210.49633333333347,0.23524305555555555
Entropy Threshold,2006,0.6730769230769231,0.32692307692307687,10.045839999999941,27.58783026978388,0.25650195874551973,5.024305555555555,16.0,36.0,42.0,0.9907407407407409,0.6668447293447295,149.2623333333333,0.19791666666666666
Entropy Threshold,2007,0.6161137440758294,0.3838862559241706,10.395839999999978,27.419245829643835,0.34880692769533894,5.892361111111111,20.0,44.0,43.0,0.9693287037037037,0.5972167368790592,173.8376666666667,0.2048611111111111
Entropy Threshold,2008,0.6050420168067226,0.39495798319327735,11.64584000000005,28.01746824300685,0.13751212592565035,5.165798611111111,18.0,31.0,60.0,0.9597800925925924,0.5807072829131651,179.3076666666666,0.22743055555555555
Entropy Threshold,2009,0.6215139442231076,0.3784860557768924,12.745840000000026,27.717380271135582,0.03910135913184768,4.46875,16.0,39.0,65.0,0.9438657407407407,0.5866257193448429,200.72333333333333,0.2517361111111111
Entropy Threshold,2010,0.5277777777777778,0.4722222222222222,13.095840000000052,27.926349226582474,0.06538452474198311,6.4296875,30.0,50.0,72.0,0.8657407407407407,0.4569187242798354,146.5903333333333,0.2595486111111111
Entropy Threshold,2011,0.5953177257525084,0.4046822742474916,12.545840000000041,27.666708871963724,0.029981514853795542,4.699652777777778,17.0,35.0,57.0,0.9302662037037037,0.5538039607333086,229.79466666666673,0.25
Entropy Threshold,2012,0.5714285714285714,0.4285714285714286,10.99583999999998,27.791759075760957,0.1504074309153483,5.015625,18.0,31.0,50.0,0.9742476851851853,0.556712962962963,111.92033333333332,0.2248263888888889
Entropy Threshold,2013,0.5303030303030303,0.4696969696969697,11.04583999999991,28.034650414776124,0.08168184539078159,6.910590277777778,25.450000000000045,50.0,51.0,0.9039351851851851,0.4793595679012345,126.81333333333328,0.21788194444444445
Entropy Threshold,2014,0.6068702290076335,0.39312977099236646,12.445840000000123,27.917458064176174,0.1504228467256285,4.796006944444445,19.0,38.0,55.0,0.9395254629629629,0.5701700328668362,203.67033333333336,0.2378472222222222
Entropy Threshold,2015,0.6298076923076923,0.3701923076923077,11.245840000000037,27.583281782233133,0.3260367536778699,5.035590277777778,17.0,27.0,49.0,0.9797453703703702,0.6170511707621081,175.8806666666666,0.22135416666666666
Entropy Threshold,2016,0.6761904761904762,0.32380952380952377,10.545840000000062,27.813263961036135,0.4564435606862638,5.441840277777778,18.0,31.0,54.0,0.976273148148148,0.6601466049382716,207.43566666666672,0.22135416666666666
Entropy Threshold,2017,0.5363128491620112,0.46368715083798884,9.645839999999952,27.75036285078093,0.38399758981901755,5.907118055555555,20.0,32.0,37.0,0.9525462962962964,0.510862818125388,81.45333333333329,0.1918402777777778
