policy,training_seed,environment_seed,scenario,regime,raw_episode_reward,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,samples_delivered,samples_requested,sample_rejections,channel_blocks,sleep_actions,sample_actions,sample_action_fraction
Published QMIX,101.0,2001,volatile,coordinated,-71.99900000000007,0.32142857142857145,0.6785714285714286,14.845840000000115,27.789725214018684,0.01712135655171821,13.04079861111111,49.0,68.0,32.0,0.9097222222222222,0.2924107142857143,293,310,0,17,842,310,0.2690972222222222
Published QMIX,101.0,2002,volatile,coordinated,-6.338000000000046,0.45930232558139533,0.5406976744186047,15.445840000000127,27.67998710577186,0.022453794780607675,10.11892361111111,42.0,64.0,78.0,0.9401041666666666,0.43179203003875966,305,372,0,67,780,372,0.3229166666666667
Published QMIX,101.0,2003,volatile,coordinated,-36.00633333333333,0.4215686274509804,0.5784313725490196,15.44584000000013,27.90966007891191,0.022800182226788687,12.214409722222221,48.0,68.0,32.0,0.9519675925925927,0.40131967138707336,305,341,0,36,811,341,0.2960069444444444
Published QMIX,101.0,2004,volatile,coordinated,-34.370333333333306,0.39779005524861877,0.6022099447513812,14.1958400000001,27.609434271665254,0.03472679713658386,11.21875,47.450000000000045,69.0,58.0,0.9311342592592593,0.3703959484346225,280,326,0,46,826,326,0.2829861111111111
Published QMIX,101.0,2005,volatile,coordinated,-6.882666666666656,0.42081447963800905,0.5791855203619909,15.645840000000113,27.493943092734902,0.021339680719762416,10.6015625,46.0,64.0,44.0,0.9126157407407409,0.38404191804927107,309,369,0,60,783,369,0.3203125
Published QMIX,101.0,2006,volatile,coordinated,-60.3426666666667,0.3717948717948718,0.6282051282051282,15.8958400000001,27.58783026978388,0.02143339935025235,11.379340277777779,46.0,66.0,50.0,0.917824074074074,0.34124228395061723,314,360,0,46,792,360,0.3125
Published QMIX,101.0,2007,volatile,coordinated,-61.31600000000001,0.36018957345971564,0.6398104265402844,15.395840000000101,27.419245829643835,0.018512946086210933,11.81076388888889,49.0,66.0,52.0,0.8880208333333334,0.3198558451816746,304,355,0,51,797,355,0.3081597222222222
Published QMIX,101.0,2008,volatile,coordinated,-85.08900000000006,0.3403361344537815,0.6596638655462185,14.695840000000121,28.01746824300685,0.013124977618803036,11.824652777777779,48.450000000000045,68.0,56.0,0.8559027777777777,0.29129464285714285,290,350,0,60,802,350,0.3038194444444444
Published QMIX,101.0,2009,volatile,coordinated,-42.47299999999991,0.40239043824701193,0.5976095617529881,16.745840000000122,27.717380271135582,0.00703813569503446,10.71875,45.0,65.0,82.0,0.8611111111111112,0.3465028773793714,331,405,0,74,747,405,0.3515625
Published QMIX,101.0,2010,volatile,coordinated,-79.85466666666672,0.3611111111111111,0.6388888888888888,15.945840000000114,27.926349226582474,0.01486058327766042,11.245659722222221,47.0,64.0,81.0,0.8049768518518519,0.2906860853909465,315,402,0,87,750,402,0.3489583333333333
Published QMIX,101.0,2011,volatile,coordinated,-33.97466666666671,0.39464882943143814,0.6053511705685619,15.745840000000115,27.666708871963724,0.03997966234644182,11.473090277777779,45.0,70.0,86.0,0.861400462962963,0.33995068438003223,311,408,0,97,744,408,0.3541666666666667
Published QMIX,101.0,2012,volatile,coordinated,-59.75866666666669,0.37755102040816324,0.6224489795918368,14.99584000000011,27.791759075760957,0.008309640461362741,11.11892361111111,45.450000000000045,67.0,60.0,0.9143518518518517,0.3452144746787603,296,357,0,61,795,357,0.3098958333333333
Published QMIX,101.0,2013,volatile,coordinated,-66.761,0.36742424242424243,0.6325757575757576,16.445840000000135,28.034650414776124,0.0036071108455933993,11.270833333333334,44.0,65.0,73.0,0.8611111111111112,0.31639309764309764,325,401,0,76,751,401,0.3480902777777778
Published QMIX,101.0,2014,volatile,coordinated,-72.16566666666667,0.3549618320610687,0.6450381679389313,15.645840000000113,27.917458064176174,0.018794999999999833,11.58420138888889,50.0,67.0,59.0,0.8423032407407407,0.2989855014843087,309,350,0,41,802,350,0.3038194444444444
