policy,training_seed,n_environment_seeds,event_recall_mean,event_recall_std,event_recall_ci95_low,event_recall_ci95_high,missed_event_rate_mean,missed_event_rate_std,missed_event_rate_ci95_low,missed_event_rate_ci95_high,total_energy_consumption_mean,total_energy_consumption_std,total_energy_consumption_ci95_low,total_energy_consumption_ci95_high,harvested_energy_mean,harvested_energy_std,harvested_energy_ci95_low,harvested_energy_ci95_high,final_battery_mean,final_battery_std,final_battery_ci95_low,final_battery_ci95_high,mean_aoi_mean,mean_aoi_std,mean_aoi_ci95_low,mean_aoi_ci95_high,p95_aoi_mean,p95_aoi_std,p95_aoi_ci95_low,p95_aoi_ci95_high,max_aoi_mean,max_aoi_std,max_aoi_ci95_low,max_aoi_ci95_high,redundant_sampling_mean,redundant_sampling_std,redundant_sampling_ci95_low,redundant_sampling_ci95_high,network_coverage_mean,network_coverage_std,network_coverage_ci95_low,network_coverage_ci95_high,network_utility_mean,network_utility_std,network_utility_ci95_low,network_utility_ci95_high,raw_episode_reward_mean,raw_episode_reward_std,raw_episode_reward_ci95_low,raw_episode_reward_ci95_high,sample_action_fraction_mean,sample_action_fraction_std,sample_action_fraction_ci95_low,sample_action_fraction_ci95_high,samples_delivered_mean,samples_delivered_std,samples_delivered_ci95_low,samples_delivered_ci95_high,samples_requested_mean,samples_requested_std,samples_requested_ci95_low,samples_requested_ci95_high,channel_blocks_mean,channel_blocks_std,channel_blocks_ci95_low,channel_blocks_ci95_high
Extended QMIX,101,30,0.6018726793528124,0.05254924834170878,0.582250467539993,0.6214948911656318,0.39812732064718753,0.05254924834170878,0.37850510883436805,0.417749532460007,11.755840000000033,1.1097063917370857,11.341468823325718,12.170211176674348,27.72458379338222,0.2053258459493652,27.64791386246968,27.80125372429476,0.19857555863105028,0.13010060193512055,0.14999519547255352,0.24715592178954704,5.067708333333333,0.8383143499448851,4.7546766105315355,5.380740056135131,18.060000000000006,4.2991659175015515,16.454665063463658,19.665334936536354,38.266666666666666,10.255136083541457,34.43733591978286,42.09599741355047,52.666666666666664,9.462569940827782,49.13328498125884,56.20004835207449,0.9608410493827159,0.02106257429291696,0.9529761548858172,0.9687059438796145,0.5791292557536456,0.06049366678119991,0.5565405493425459,0.6017179621647453,146.15318888888893,46.54421600395545,128.7732930024174,163.53308477536046,0.23495370370370372,0.026767243985745915,0.22495865053532485,0.2449487568720826,231.2,22.194127834741053,222.9125764665139,239.48742353348607,270.6666666666667,30.835865071579292,259.15236541669424,282.18096791663913,39.46666666666667,10.740620072427378,35.456053219035056,43.47728011429828
Extended QMIX,102,30,0.6037836132589532,0.05182857728557093,0.5844305044410796,0.6231367220768269,0.39621638674104687,0.05182857728557092,0.3768632779231732,0.41556949555892053,11.775840000000036,1.0826691155626327,11.371564708170485,12.180115291829587,27.72458379338222,0.2053258459493652,27.64791386246968,27.80125372429476,0.20011036115568792,0.12778208068543875,0.1523957480600264,0.24782497425134944,5.004832175925927,0.798898340405719,4.7065186329725694,5.303145718879284,17.60833333333334,3.7421661469347436,16.210985529299492,19.00568113736719,36.36666666666667,8.159966756749954,33.31968500395414,39.41364832937919,52.86666666666667,9.331937498251067,49.382063936976685,56.35126939635665,0.9620273919753086,0.021577469651523476,0.9539702323917181,0.9700845515588992,0.5816905422140957,0.06020102629949398,0.5592111095547289,0.6041699748734625,147.65262222222222,45.75851213593499,130.56611298174408,164.73913146270036,0.23576388888888883,0.026510977094957745,0.22586452735017817,0.24566325042759948,231.6,21.65338231125201,223.5144941634092,239.68550583659078,271.6,30.540645613391323,260.19593550740535,283.0040644925947,40.0,10.712545014591779,35.99986995125404,44.00013004874596
Extended QMIX,103,30,0.6016035841002945,0.052644167663342796,0.58194592883028,0.621261239370309,0.3983964158997055,0.052644167663342796,0.378738760629691,0.41805407116972,11.639173333333362,1.1101206313243763,11.224647477055063,12.053699189611661,27.72458379338222,0.2053258459493652,27.64791386246968,27.80125372429476,0.1920620326698416,0.12466207242618375,0.14551244980492184,0.23861161553476135,5.125376157407407,0.8952069205825741,4.791100399593553,5.4596519152212615,18.063333333333336,4.207073955181656,16.492386100673333,19.63428056599334,36.833333333333336,8.710213320691636,33.58088622691493,40.085780439751744,52.266666666666666,9.533727184212296,48.706714429904274,55.82661890342906,0.9611111111111111,0.021922577022497076,0.9529250863173586,0.9692971359048637,0.5791061705423416,0.06117382526538518,0.556263488779279,0.6019488523054042,146.47526666666667,47.478710623424035,128.74642475451813,164.2041085788152,0.23295717592592588,0.027189237941504296,0.22280454762479202,0.24310980422705974,228.86666666666667,22.202412626486826,220.57614954110096,237.1571837922324,268.3666666666667,31.32200210861295,256.6708388637604,280.0624944695729,39.5,11.100636825472423,35.35495408744564,43.64504591255436
Improved QMIX,101,30,0.57735476918157,0.053539466341280186,0.5573628038909823,0.5973467344721578,0.4226452308184299,0.05353946634128019,0.40265326552784214,0.4426371961090177,12.69084000000005,1.022787772505255,12.30892476914544,13.072755230854659,27.72458379338222,0.2053258459493652,27.64791386246968,27.80125372429476,0.13221668193987707,0.09944275365111821,0.09508414747042557,0.16934921640932857,5.118171296296296,0.9293836555916267,4.771133735895706,5.465208856696886,20.053333333333345,5.759952905299176,17.902531571056986,22.204135095609704,42.46666666666667,11.578021191578623,38.14336250221588,46.78997083111746,58.43333333333333,9.647881072826422,54.83075533402762,62.03591133263904,0.9555073302469135,0.022247438291911552,0.9472000002615666,0.9638146602322604,0.552625611146414,0.06205078275444498,0.5294554680752606,0.5757957542175673,121.46564444444444,44.27456737994718,104.93324928246216,137.99803960642672,0.253587962962963,0.025961455867057864,0.243893796023029,0.26328212990289696,249.9,20.455755450104572,242.26169538290802,257.538304617092,292.1333333333333,29.907597158850656,280.9656530185294,303.30101364813726,42.233333333333334,12.1191877881184,37.707954240726096,46.75871242594057
Improved QMIX,102,30,0.5722467696444605,0.0547140287679218,0.5518162155357593,0.5926773237531617,0.42775323035553964,0.0547140287679218,0.40732267624683843,0.44818378446424084,12.487506666666711,1.0203180144321546,12.106513658632904,12.868499674700518,27.72458379338222,0.2053258459493652,27.64791386246968,27.80125372429476,0.1324299394462591,0.1094950540968155,0.09154381430184806,0.17331606459067017,5.540162037037036,1.0776744398565863,5.137751787767239,5.9425722863068335,22.29333333333334,6.383785134516841,19.909588788359617,24.677077878307063,47.0,11.129333716153777,42.84423849235935,51.15576150764065,56.6,9.658299986058088,52.99353151455524,60.206468485444766,0.9529706790123456,0.022681317667666068,0.9445013358054791,0.961440022219212,0.5463171162955017,0.06309241165579031,0.5227580226003613,0.5698762099906421,117.86928888888886,44.170216110398826,101.37585913133444,134.36271864644328,0.24890046296296298,0.025847308455567698,0.23924891936697446,0.2585520065589515,245.83333333333334,20.406360288642485,238.21347317265744,253.45319349400924,286.73333333333335,29.776099340813985,275.6147551107546,297.8519115559121,40.9,11.66885037034571,36.54277966280088,45.257220337199115
Improved QMIX,103,30,0.5744302336099468,0.05519624390735497,0.5538196174089436,0.5950408498109501,0.42556976639005323,0.055196243907354975,0.40495915018905,0.44618038259105647,12.905840000000051,0.9586628618855937,12.547869404289887,13.263810595710215,27.72458379338222,0.2053258459493652,27.64791386246968,27.80125372429476,0.10011437196306407,0.07924656193624335,0.07052321941908993,0.1297055245070382,4.8089409722222225,0.8699906995069399,4.484081106103859,5.133800838340586,18.411666666666672,5.233260395567573,16.45753511970862,20.365798213624725,39.233333333333334,9.586928361174857,35.653515450610364,42.813151216056305,59.766666666666666,9.320660526147176,56.28627482756433,63.247058505769004,0.9547067901234567,0.022847456010070794,0.9461754098399855,0.9632381704069279,0.5494174531169255,0.06383212803498994,0.5255821447863315,0.5732527614475195,117.94865555555558,44.00275318045046,101.51775748372337,134.3795536273878,0.25807291666666665,0.024689670990676926,0.24885364200420945,0.26729219132912385,254.2,19.17325723771129,247.04058808579694,261.35941191420306,297.3,28.442500981259816,286.67939558884933,307.9206044111507,43.1,11.683616586987274,38.737265866890226,47.46273413310978
Published IQL,101,30,0.4614211103327693,0.0633171706822259,0.43777809023786607,0.4850641304276725,0.5385788896672307,0.0633171706822259,0.5149358695723275,0.5622219097621338,14.44584000000008,0.9289408132291315,14.098967799655263,14.792712200344898,27.72458379338222,0.2053258459493652,27.64791386246968,27.80125372429476,0.02677207985122053,0.016161399850220977,0.020737313968546577,0.03280684573389448,8.100954861111111,1.0670158094955087,7.702524609827576,8.499385112394647,34.260000000000005,4.416590977447308,32.610817825470725,35.909182174529285,56.733333333333334,4.525280203428317,55.043565934823256,58.42310073184341,72.63333333333334,12.568387637883069,67.94022026019316,77.32644640647352,0.9293595679012345,0.031097443826174444,0.9177475915390507,0.9409715442634183,0.43048437375919274,0.07103069756518202,0.40396107539014514,0.45700767212824034,12.422855555555547,46.229036657423805,-4.8393504287416675,29.68506153985276,0.3048900462962963,0.03076369980846068,0.2934026919984331,0.3163774005941595,285.0,18.578816264582183,278.0625559931038,291.9374440068962,351.23333333333335,35.4397821793467,337.99990118219495,364.46676548447175,66.23333333333333,20.327802149516437,58.6428072638994,73.82385940276727
Published IQL,102,30,0.4117114745895354,0.06439306952259641,0.3876667072651069,0.4357562419139639,0.5882885254104646,0.06439306952259642,0.5642437580860361,0.6123332927348931,16.402506666666774,0.705120842337596,16.139210216981876,16.66580311635167,27.72458379338222,0.2053258459493652,27.64791386246968,27.80125372429476,0.01953751560278968,0.009447773384097425,0.01600965904246786,0.0230653721631115,9.587644675925924,1.2411977701092374,9.124173811636666,10.051115540215182,41.05666666666668,4.170994533956961,39.49919171130266,42.6141416220307,59.766666666666666,4.980536831149507,57.9069036495657,61.62642968376763,80.86666666666666,14.058334951522367,75.61719812316733,86.116135210166,0.9146894290123456,0.033050123310505976,0.9023483101475908,0.9270305478771005,0.3783252716384543,0.07078778566541465,0.3518926780634714,0.4047578652134372,-38.47984444444444,47.48302284384137,-56.210296566159855,-20.74939232272902,0.3546006944444444,0.02494055190721986,0.3452877393081546,0.36391364958073424,324.1333333333333,14.10241684675149,318.8674043396355,329.3992623270311,408.5,28.731515797117282,397.7714756829941,419.2285243170059,84.36666666666666,22.770948420169567,75.86385478677317,92.86947854656015
Published IQL,103,30,0.46963093350289775,0.06046867800661185,0.4470515580535793,0.4922103089522162,0.5303690664971022,0.06046867800661184,0.5077896910477838,0.5529484419464207,14.99084000000009,0.9680543943110164,14.62936254844871,15.352317451551468,27.72458379338222,0.2053258459493652,27.64791386246968,27.80125372429476,0.042274137511005706,0.0381515106817052,0.02802812929586478,0.05652014572614664,7.388223379629628,0.8324881620724096,7.077367191133319,7.699079568125938,31.526666666666674,4.422858596080086,29.875144124877057,33.178189208456295,54.86666666666667,7.9469505464993135,51.89922656409069,57.834106769242645,78.86666666666666,12.43669024973349,74.22273020645655,83.51060312687677,0.9359760802469137,0.029017476904047507,0.925140776297706,0.9468113841961214,0.4410813188699404,0.06861224878614332,0.41546108411642096,0.46670155362345983,15.127011111111107,42.92839460648736,-0.9027148761245964,31.15673709834681,0.32146990740740744,0.03306662176788144,0.3091226279174215,0.33381718689739337,295.9,19.361087886219902,288.67045096897255,303.1295490310274,370.3333333333333,38.09274827659942,356.1092673608695,384.5573993057971,74.43333333333334,23.01076709496775,65.84097168856101,83.02569497810566
Published QMIX,101,30,0.41839568599904803,0.0688264350758307,0.3926954727705499,0.44409589922754616,0.5816043140009519,0.0688264350758307,0.5559041007724538,0.60730452722945,15.495840000000108,0.7582875444051673,15.212690777491988,15.778989222508228,27.72458379338222,0.2053258459493652,27.64791386246968,27.80125372429476,0.016905996944371556,0.006355723503534886,0.014532730784613937,0.019279263104129175,10.506944444444446,0.6066629323688759,10.280412782554244,10.733476106334649,44.39000000000001,2.106246866364182,43.6035144945721,45.17648550542791,63.13333333333333,3.2666901242413693,61.91353119405453,64.35313547261214,66.16666666666667,12.836057331443016,61.373604087327045,70.95972924600629,0.9118152006172839,0.032432936869453914,0.8997045429571418,0.9239258582774261,0.38322188745064045,0.07405623477682845,0.3555688349197741,0.4108749399815068,-23.492655555555547,53.08904801405074,-43.31643187864752,-3.6688792324635777,0.32326388888888885,0.022606944604802816,0.31482231704010505,0.33170546073767265,306.0,15.165750888103101,300.3370155498377,311.6629844501623,372.4,26.043200184732846,362.67530923020104,382.1246907697989,66.4,18.578073839507876,59.46283321918265,73.33716678081737
