comparator,metric,n_environment_pairs,extended_engineering_advantage_mean,environment_seed_ci95_low,environment_seed_ci95_high,two_way_bootstrap_ci95_low,two_way_bootstrap_ci95_high,statistic,p_value_unadjusted,paired_cohens_dz,test,assumption,p_value_holm,holm_supported_0.05
Improved QMIX,raw_episode_reward,20,29.947005555555563,25.248579989563012,34.645431121548114,22.532165833333334,38.363991250000026,13.3405972074894,4.24640106179236e-11,2.9830482216390166,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,4.2464010617923597e-10,True
Improved QMIX,event_recall,20,0.03028900489732711,0.025456608522531385,0.035121401272122835,0.02165527673179506,0.03976202094668316,13.118877450709235,5.6677397781294495e-11,2.933470176827499,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,5.100965800316504e-10,True
Improved QMIX,total_energy_consumption,20,0.8116666666666849,0.7281103401136678,0.8952229932197019,0.5349375000000046,1.0716875000000279,20.331648452937422,2.361231704391988e-14,4.546294803539651,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,2.597354874831187e-13,True
Improved QMIX,mean_aoi,20,0.1420717592592593,-0.02550669557807206,0.30965021409659066,-0.27637767650462963,0.6443330439814812,1.7744501217079693,0.09201424793395159,0.3967791094821795,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,0.2760427438018548,False
Improved QMIX,redundant_sampling,20,4.500000000000001,2.7331937327406073,6.266806267259394,2.466666666666667,6.55,5.330866444936942,3.8173527478747335e-05,1.192017974985164,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,0.00022904116487248402,True
Improved QMIX,network_coverage,20,0.00816454475308644,0.004947302025970398,0.011381787480202481,0.004229239004629609,0.01228298611111108,5.311563351274211,3.9830851175352664e-05,1.1877016720245728,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,0.00022904116487248402,True
Entropy Threshold,raw_episode_reward,20,-5.851711111111106,-9.357612334731343,-2.3458098874908693,-9.641211111111106,-2.266441249999965,-3.493473242339873,0.0024310854668101317,-0.7811643647448552,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,0.009724341867240527,True
Entropy Threshold,event_recall,20,-0.0020572362380118807,-0.0063173560607678305,0.0022028835847440692,-0.006584490367597013,0.002209786803693147,-1.0107332917630925,0.32484340399736644,-0.22600683475044028,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,0.6496868079947329,False
Entropy Threshold,total_energy_consumption,20,-0.9716666666667095,-1.0573796889060119,-0.8859536444274073,-1.0858541666667199,-0.8558333333333732,-23.72710298934757,1.3961393380064305e-15,-5.305541519331962,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,1.6753672056077168e-14,True
Entropy Threshold,mean_aoi,20,0.38624131944444445,0.2371548867461536,0.5353277521427353,0.22032515914351866,0.5909570312499999,5.422440914121447,3.122009954944335e-05,1.2124946487951653,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,0.00021854069684610345,True
Entropy Threshold,redundant_sampling,20,-4.666666666666666,-5.745126788370044,-3.588206544963288,-5.866666666666666,-3.466666666666667,-9.056844468028675,2.5318714300582438e-08,-2.025171989215504,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,2.025497144046595e-07,True
Entropy Threshold,network_coverage,20,-0.0002700617283950657,-0.002320297823510339,0.0017801743667202076,-0.0021317997685185506,0.0019097222222221719,-0.2756978550190705,0.7857563202044735,-0.061647914507352325,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,0.7857563202044735,False
