policy,environment_seed,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,raw_episode_reward,sample_action_fraction,samples_delivered,samples_requested,channel_blocks
Always Sample,211,0.26436781609195403,0.735632183908046,19.4958400000002,27.58635165301026,0.024554568249104427,8.680555555555555,41.0,57.0,186.0,0.8802083333333334,0.23269875478927204,-236.59299999999962,0.6449652777777778,386.0,743.0,357.0
Always Sample,212,0.2892561983471074,0.7107438016528926,19.19584000000018,27.919764761552692,0.02316451279709596,9.190972222222221,42.0,58.0,182.0,0.8373842592592593,0.24221858738904192,-238.06933333333228,0.6328125,380.0,729.0,349.0
Always Sample,213,0.31862745098039214,0.6813725490196079,18.99584000000017,27.724887803272157,0.01983670220374214,9.519097222222221,43.0,59.0,180.0,0.8981481481481483,0.2861746550472041,-190.7103333333341,0.6267361111111112,376.0,722.0,346.0
Always Sample,214,0.31756756756756754,0.6824324324324325,19.14584000000018,27.94823480825298,0.01992384210776065,9.493055555555555,43.0,62.0,180.0,0.84375,0.2679476351351351,-209.52799999999976,0.6328125,379.0,729.0,350.0
Always Sample,215,0.34448160535117056,0.6555183946488294,19.09584000000018,27.457604887378945,0.01855411927079527,9.30295138888889,43.0,61.0,180.0,0.8686342592592592,0.2992285240926545,-168.66933333333415,0.6284722222222222,378.0,724.0,346.0
Always Sample,216,0.3983050847457627,0.6016949152542372,19.345840000000187,27.32361408507136,0.024813587715293167,9.0078125,42.0,60.0,180.0,0.921875,0.3671875,-116.7360000000008,0.6345486111111112,383.0,731.0,348.0
Always Sample,217,0.28695652173913044,0.7130434782608696,18.895840000000167,28.049193411107996,0.01630600687802856,9.770833333333334,44.0,62.0,179.0,0.7826967592592593,0.2245999396135266,-259.9053333333322,0.6241319444444444,374.0,719.0,345.0
Always Sample,218,0.26903553299492383,0.7309644670050761,19.045840000000176,27.828259921270625,0.016678817832853583,9.43576388888889,43.0,61.0,183.0,0.8784722222222222,0.23634024252679073,-227.88299999999984,0.6319444444444444,377.0,728.0,351.0
Always Sample,219,0.3463414634146341,0.6536585365853659,19.295840000000187,27.502366090802504,0.019046817072825697,9.035590277777779,42.0,60.0,181.0,0.9027777777777778,0.31266937669376693,-171.24500000000046,0.6388888888888888,382.0,736.0,354.0
Always Sample,220,0.3127962085308057,0.6872037914691943,19.245840000000186,27.96253468956628,0.03012973156946764,8.97482638888889,42.0,57.0,183.0,0.8854166666666666,0.27695497630331756,-201.32000000000033,0.6354166666666666,381.0,732.0,351.0
Always Sample,221,0.30303030303030304,0.696969696969697,19.695840000000207,27.87188910352081,0.01322251520845795,7.983506944444445,39.0,51.0,189.0,0.8787615740740742,0.2662913860830528,-224.54066666666733,0.65625,390.0,756.0,366.0
Always Sample,222,0.3360995850622407,0.6639004149377593,19.14584000000018,27.42557524730638,0.01699892284887263,9.180555555555555,42.0,56.0,186.0,0.8940972222222222,0.3005057053941909,-178.03700000000038,0.6354166666666666,379.0,732.0,353.0
Always Sample,223,0.2760416666666667,0.7239583333333333,19.34584000000019,27.78823108417696,0.029668434622776966,9.139756944444445,42.0,61.0,183.0,0.8559027777777778,0.23626482928240744,-228.76499999999936,0.6336805555555556,383.0,730.0,347.0
Always Sample,224,0.34183673469387754,0.6581632653061225,19.39584000000019,28.08723978600349,0.021313914938783485,8.816840277777779,41.0,59.0,188.0,0.9097222222222222,0.3109764739229025,-174.7350000000004,0.6362847222222222,384.0,733.0,349.0
Always Sample,225,0.25821596244131456,0.7417840375586855,19.645840000000206,27.77582209554403,0.0198357802996191,8.160590277777779,39.450000000000045,55.0,190.0,0.8521412037037037,0.22003646105025215,-260.29733333333263,0.6467013888888888,389.0,745.0,356.0
Always Sample,226,0.3333333333333333,0.6666666666666667,19.4958400000002,27.863677478080206,0.01608722649300224,8.830729166666666,41.0,59.0,185.0,0.8845486111111112,0.29484953703703703,-189.49000000000024,0.640625,386.0,738.0,352.0
Always Sample,227,0.32620320855614976,0.6737967914438503,19.4958400000002,27.470396163705733,0.031238347973406657,8.668402777777779,41.0,56.0,190.0,0.9027777777777778,0.29448900772430187,-193.48000000000022,0.6397569444444444,386.0,737.0,351.0
Always Sample,228,0.16161616161616163,0.8383838383838383,19.295840000000187,27.692085219615866,0.024319454554515993,9.039930555555555,42.0,57.0,181.0,0.7890625,0.12752525252525254,-322.93599999999884,0.6380208333333334,382.0,735.0,353.0
Always Sample,229,0.2596899224806202,0.7403100775193798,19.04584000000018,27.916316505075454,0.02436901407006833,9.2578125,43.0,58.0,187.0,0.8194444444444444,0.21280146425495264,-271.2190000000001,0.6319444444444444,377.0,728.0,351.0
Always Sample,230,0.2857142857142857,0.7142857142857143,19.345840000000187,27.74166292968646,0.019754878327826915,8.702256944444445,41.0,59.0,186.0,0.8466435185185186,0.24189814814814817,-230.77266666666708,0.640625,383.0,738.0,355.0
Always Sleep,211,0.0,1.0,0.1958400000000021,27.58635165301026,0.9875899999999997,144.5,274.0,288.0,0.0,0.7395833333333334,0.0,-313.4999999999983,0.0,0.0,0.0,0.0
Always Sleep,212,0.0,1.0,0.1958400000000021,27.919764761552692,0.9875899999999997,144.5,274.0,288.0,0.0,0.6493055555555556,0.0,-415.4999999999976,0.0,0.0,0.0,0.0
Always Sleep,213,0.0,1.0,0.1958400000000021,27.724887803272157,0.9875899999999997,144.5,274.0,288.0,0.0,0.6875,0.0,-358.4999999999985,0.0,0.0,0.0,0.0
Always Sleep,214,0.0,1.0,0.1958400000000021,27.94823480825298,0.9875899999999997,144.5,274.0,288.0,0.0,0.5694444444444444,0.0,-496.4999999999973,0.0,0.0,0.0,0.0
Always Sleep,215,0.0,1.0,0.1958400000000021,27.457604887378945,0.9875899999999997,144.5,274.0,288.0,0.0,0.5486111111111112,0.0,-500.99999999999756,0.0,0.0,0.0,0.0
Always Sleep,216,0.0,1.0,0.1958400000000021,27.32361408507136,0.9875899999999997,144.5,274.0,288.0,0.0,0.6388888888888888,0.0,-406.4999999999975,0.0,0.0,0.0,0.0
Always Sleep,217,0.0,1.0,0.1958400000000021,28.049193411107996,0.9875899999999997,144.5,274.0,288.0,0.0,0.4930555555555556,0.0,-569.9999999999992,0.0,0.0,0.0,0.0
Always Sleep,218,0.0,1.0,0.1958400000000021,27.828259921270625,0.9875899999999997,144.5,274.0,288.0,0.0,0.6805555555555556,0.0,-347.9999999999981,0.0,0.0,0.0,0.0
Always Sleep,219,0.0,1.0,0.1958400000000021,27.502366090802504,0.9875899999999997,144.5,274.0,288.0,0.0,0.6875,0.0,-359.9999999999983,0.0,0.0,0.0,0.0
Always Sleep,220,0.0,1.0,0.1958400000000021,27.96253468956628,0.9875899999999997,144.5,274.0,288.0,0.0,0.6805555555555556,0.0,-368.99999999999807,0.0,0.0,0.0,0.0
Always Sleep,221,0.0,1.0,0.1958400000000021,27.87188910352081,0.9875899999999997,144.5,274.0,288.0,0.0,0.6840277777777778,0.0,-398.99999999999847,0.0,0.0,0.0,0.0
Always Sleep,222,0.0,1.0,0.1958400000000021,27.42557524730638,0.9875899999999997,144.5,274.0,288.0,0.0,0.6284722222222222,0.0,-413.9999999999981,0.0,0.0,0.0,0.0
Always Sleep,223,0.0,1.0,0.1958400000000021,27.78823108417696,0.9875899999999997,144.5,274.0,288.0,0.0,0.6875,0.0,-340.49999999999807,0.0,0.0,0.0,0.0
Always Sleep,224,0.0,1.0,0.1958400000000021,28.08723978600349,0.9875899999999997,144.5,274.0,288.0,0.0,0.6944444444444444,0.0,-346.49999999999847,0.0,0.0,0.0,0.0
Always Sleep,225,0.0,1.0,0.1958400000000021,27.77582209554403,0.9875899999999997,144.5,274.0,288.0,0.0,0.6944444444444444,0.0,-371.9999999999974,0.0,0.0,0.0,0.0
Always Sleep,226,0.0,1.0,0.1958400000000021,27.863677478080206,0.9875899999999997,144.5,274.0,288.0,0.0,0.7291666666666666,0.0,-313.49999999999744,0.0,0.0,0.0,0.0
Always Sleep,227,0.0,1.0,0.1958400000000021,27.470396163705733,0.9875899999999997,144.5,274.0,288.0,0.0,0.7222222222222222,0.0,-332.99999999999875,0.0,0.0,0.0,0.0
Always Sleep,228,0.0,1.0,0.1958400000000021,27.692085219615866,0.9875899999999997,144.5,274.0,288.0,0.0,0.6631944444444444,0.0,-349.49999999999744,0.0,0.0,0.0,0.0
Always Sleep,229,0.0,1.0,0.1958400000000021,27.916316505075454,0.9875899999999997,144.5,274.0,288.0,0.0,0.6180555555555556,0.0,-439.49999999999784,0.0,0.0,0.0,0.0
Always Sleep,230,0.0,1.0,0.1958400000000021,27.74166292968646,0.9875899999999997,144.5,274.0,288.0,0.0,0.6944444444444444,0.0,-346.499999999998,0.0,0.0,0.0,0.0
Battery + Entropy,211,0.5804597701149425,0.41954022988505746,9.445839999999857,27.58635165301026,0.1653601176743658,6.323784722222222,23.0,41.0,39.0,0.96875,0.5623204022988506,110.04000000000002,0.18836805555555555,185.0,217.0,32.0
Battery + Entropy,212,0.5578512396694215,0.4421487603305785,11.045839999999995,27.919764761552692,0.14833726394156543,5.847222222222222,22.0,41.0,46.0,0.9357638888888888,0.5220170454545454,136.41200000000003,0.2248263888888889,217.0,259.0,42.0
Battery + Entropy,213,0.6519607843137255,0.3480392156862745,11.14583999999997,27.724887803272157,0.09074765406747506,4.954861111111111,17.0,36.0,52.0,0.9782986111111112,0.6378123297930284,185.68199999999993,0.2248263888888889,219.0,259.0,40.0
Battery + Entropy,214,0.5641891891891891,0.43581081081081086,11.995840000000044,27.94823480825298,0.1311482263237802,8.491319444444445,40.0,71.0,61.0,0.9273726851851851,0.5232136433308308,174.65333333333342,0.2517361111111111,236.0,290.0,54.0
Battery + Entropy,215,0.5518394648829431,0.4481605351170569,11.895840000000042,27.457604887378945,0.17620922171693684,7.025173611111111,32.0,53.0,58.0,0.9126157407407407,0.5036173820141211,168.46233333333333,0.2456597222222222,234.0,283.0,49.0
Battery + Entropy,216,0.6228813559322034,0.3771186440677966,11.145839999999957,27.32361408507136,0.10475004097892382,6.986979166666667,29.0,51.0,46.0,0.96875,0.603416313559322,199.625,0.21614583333333334,219.0,249.0,30.0
Battery + Entropy,217,0.5014492753623189,0.49855072463768113,12.245840000000065,28.049193411107996,0.11278582438933438,5.390625,21.0,46.0,56.0,0.8764467592592592,0.43949359232420826,135.04866666666672,0.2534722222222222,241.0,292.0,51.0
Battery + Entropy,218,0.6345177664974619,0.36548223350253806,10.795839999999954,27.828259921270625,0.1814464013359267,6.462673611111111,25.0,46.0,47.0,0.9704861111111112,0.6157906796390299,170.885,0.20572916666666666,212.0,237.0,25.0
Battery + Entropy,219,0.624390243902439,0.375609756097561,10.795839999999975,27.502366090802504,0.24585309483048995,7.399305555555555,31.450000000000045,59.0,42.0,0.9713541666666666,0.6065040650406504,168.50200000000007,0.2109375,212.0,243.0,31.0
Battery + Entropy,220,0.6350710900473934,0.36492890995260663,11.745840000000099,27.96253468956628,0.2664749400941614,4.756076388888889,16.0,26.0,55.0,0.9765625,0.6201866113744076,178.296,0.2300347222222222,231.0,265.0,34.0
Battery + Entropy,221,0.6233766233766234,0.37662337662337664,11.095839999999988,27.87188910352081,0.07359106217886996,4.993923611111111,16.0,25.0,52.0,0.976851851851852,0.608946608946609,183.7103333333333,0.22916666666666666,218.0,264.0,46.0
