policy,n_environment_seeds,event_recall_mean,event_recall_std,event_recall_ci95_low,event_recall_ci95_high,missed_event_rate_mean,missed_event_rate_std,missed_event_rate_ci95_low,missed_event_rate_ci95_high,total_energy_consumption_mean,total_energy_consumption_std,total_energy_consumption_ci95_low,total_energy_consumption_ci95_high,harvested_energy_mean,harvested_energy_std,harvested_energy_ci95_low,harvested_energy_ci95_high,final_battery_mean,final_battery_std,final_battery_ci95_low,final_battery_ci95_high,mean_aoi_mean,mean_aoi_std,mean_aoi_ci95_low,mean_aoi_ci95_high,p95_aoi_mean,p95_aoi_std,p95_aoi_ci95_low,p95_aoi_ci95_high,max_aoi_mean,max_aoi_std,max_aoi_ci95_low,max_aoi_ci95_high,redundant_sampling_mean,redundant_sampling_std,redundant_sampling_ci95_low,redundant_sampling_ci95_high,network_coverage_mean,network_coverage_std,network_coverage_ci95_low,network_coverage_ci95_high,network_utility_mean,network_utility_std,network_utility_ci95_low,network_utility_ci95_high,raw_episode_reward_mean,raw_episode_reward_std,raw_episode_reward_ci95_low,raw_episode_reward_ci95_high,sample_action_fraction_mean,sample_action_fraction_std,sample_action_fraction_ci95_low,sample_action_fraction_ci95_high,samples_delivered_mean,samples_delivered_std,samples_delivered_ci95_low,samples_delivered_ci95_high,samples_requested_mean,samples_requested_std,samples_requested_ci95_low,samples_requested_ci95_high,channel_blocks_mean,channel_blocks_std,channel_blocks_ci95_low,channel_blocks_ci95_high
Always Sample,20,0.3014758306679201,0.048795600484078834,0.2786387866714604,0.3243128746643798,0.69852416933208,0.048795600484078834,0.6756871253356203,0.7213612133285396,19.283340000000187,0.21635436331703697,19.182083041076005,19.38459695892437,27.74678538620006,0.22039553901321787,27.64363709883119,27.84993367356893,0.021490859751714865,0.004970351821773383,0.019164663494149428,0.023817056009280302,9.009592013888888,0.4380533776434256,8.804576722370859,9.214607305406917,41.822500000000005,1.2327200348053549,41.245569264628635,42.399430735371375,58.4,2.6832815729997477,57.14418556735502,59.65581443264498,183.95,3.619755734707436,182.2559021684358,185.64409783156418,0.8666232638888889,0.0382589374936566,0.8487175299675384,0.8845289978102394,0.2625829228506603,0.05053771973504696,0.23893054194704605,0.2862353037542746,-214.7466,45.42016177165926,-236.00389005105984,-193.48930994894016,0.6365017361111112,0.007305549953233678,0.6330826334861774,0.6399208387360449,381.75,4.327087266340524,379.7248608215165,383.7751391784835,733.25,8.415993546125202,729.3111937760764,737.1888062239236,351.5,4.784844495080824,349.2606238438231,353.7393761561769
Always Sleep,20,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.19584000000000212,2.8476619731297836e-17,0.19584000000000212,0.19584000000000212,27.74678538620006,0.22039553901321787,27.64363709883119,27.84993367356893,0.98759,2.278129578503827e-16,0.9875899999999999,0.9875900000000001,144.5,0.0,144.5,144.5,274.0,0.0,274.0,274.0,288.0,0.0,288.0,288.0,0.0,0.0,0.0,0.0,0.6595486111111112,0.06242355420674008,0.6303334884424221,0.6887637337798003,0.0,0.0,0.0,0.0,-389.62499999999807,67.79999126688348,-421.3563726680443,-357.89362733195185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery + Entropy,20,0.5875307048800735,0.04856536908030589,0.5648014124973898,0.6102599972627573,0.4124692951199266,0.04856536908030589,0.3897400027372429,0.43519858750261026,10.733339999999966,0.968160898981118,10.280226751544342,11.18645324845559,27.74678538620006,0.22039553901321787,27.64363709883119,27.84993367356893,0.18724161378648851,0.07177339715372787,0.1536506299208454,0.22083259765213162,6.273828125,1.3148102879030643,5.658477968552243,6.889178281447756,23.722500000000004,7.3447524231858745,20.2850500543614,27.15994994563861,43.0,12.354415362426844,37.217955627488664,48.782044372511336,47.55,7.500701721558422,44.039563536051965,51.06043646394803,0.9484230324074077,0.030539392773894364,0.9341301566259087,0.9627159081889066,0.5585401240243065,0.06200613570193071,0.5295203592293745,0.5875598888192386,150.2125833333333,41.26639970024959,130.89931377253384,169.52585289413275,0.21388888888888888,0.023721576815795366,0.20278684919609988,0.22499092858167788,210.75,19.363217979620945,201.68773503088818,219.81226496911182,246.4,27.327256491796263,233.61045027390708,259.18954972609293,35.65,9.39358683806194,31.25366603183047,40.04633396816953
Entropy Threshold,20,0.598554893233039,0.04533171731498094,0.5773389964618726,0.6197707900042054,0.401445106766961,0.04533171731498093,0.38022920999579457,0.4226610035381274,10.923339999999975,0.9916062195937351,10.459254003734513,11.387425996265437,27.74678538620006,0.22039553901321787,27.64363709883119,27.84993367356893,0.1772416137864885,0.08082626084411645,0.13941375929438776,0.21506946827858925,5.950911458333332,1.2715331298172003,5.355815635338672,6.5460072813279915,22.157500000000017,6.900882380650964,18.927787628845973,25.38721237115406,40.5,12.037222970523777,34.866406236506094,46.133593763493906,48.55,7.735597823323711,44.92962877641393,52.170371223586066,0.953298611111111,0.028910869412712297,0.9397679077238367,0.9668293144983854,0.5717638032780747,0.05859304699670329,0.5443414131675782,0.5991861933885713,159.72215,39.83734176711447,141.07770013951645,178.36659986048355,0.21818576388888888,0.024372810238334534,0.2067789375724094,0.22959259020536837,214.55,19.83212439187332,205.2682800746914,223.83171992530862,251.35,28.077477394561377,238.20933608341565,264.49066391658437,36.8,9.627810594424117,32.29404593952718,41.305954060472814
Extended QMIX,20,0.5964976569950272,0.044282511828986716,0.575772803506601,0.6172225104834534,0.4035023430049728,0.04428251182898673,0.3827774895165465,0.4242271964933991,11.895006666666685,0.928519462269359,11.460446181683348,12.329567151650021,27.74678538620006,0.22039553901321765,27.64363709883119,27.84993367356893,0.12888964661976557,0.06599748948251177,0.09800187075440293,0.15977742248512822,5.564670138888888,1.118372926134769,5.041255497707816,6.088084780069961,21.79583333333334,6.93776611628056,18.548858842542064,25.04280782412462,41.650000000000006,11.462869118203027,36.28521211377499,47.01478788622502,53.21666666666666,8.10838494601413,49.42182569913365,57.011507634199674,0.953028549382716,0.027010287994044382,0.9403873454799522,0.9656697532854798,0.5695181461320465,0.056553748219909876,0.5430501772280838,0.5959861150360093,153.8704388888889,38.490094139177195,135.85652032729507,171.88435745048275,0.23783275462962958,0.02398921202596494,0.226605457802816,0.24906005145644317,233.9833333333333,18.570389245385954,225.29212363366713,242.67454303299945,273.98333333333335,27.635572253911615,261.0494873888441,286.9171792778226,39.99999999999999,10.754571991178928,34.96670537324809,45.033294626751896
Fixed Interval,20,0.08580663789656554,0.014410502368433166,0.07906231518439044,0.09255096060874063,0.9141933621034344,0.014410502368433156,0.9074490393912593,0.9209376848156094,4.995839999999857,0.0,4.995839999999857,4.995839999999857,27.74678538620006,0.22039553901321787,27.64363709883119,27.84993367356893,0.6696784492447672,0.0004356131878916093,0.6694745759972074,0.6698823224923269,5.4375,0.0,5.4375,5.4375,11.0,0.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.7431712962962963,0.050838751560917814,0.7193780281613836,0.766964564431209,0.06388362811719103,0.012136338960763441,0.058203646642358386,0.06956360959202368,-261.5046666666663,53.30251988162401,-286.4510138697505,-236.55831946358208,0.08333333333333331,1.4238309865648918e-17,0.08333333333333331,0.08333333333333331,96.0,0.0,96.0,96.0,96.0,0.0,96.0,96.0,0.0,0.0,0.0,0.0
Greedy,20,0.3014758306679201,0.048795600484078834,0.2786387866714604,0.3243128746643798,0.69852416933208,0.048795600484078834,0.6756871253356203,0.7213612133285396,19.283340000000187,0.21635436331703697,19.182083041076005,19.38459695892437,27.74678538620006,0.22039553901321787,27.64363709883119,27.84993367356893,0.021490859751714865,0.004970351821773383,0.019164663494149428,0.023817056009280302,9.009592013888888,0.4380533776434256,8.804576722370859,9.214607305406917,41.822500000000005,1.2327200348053549,41.245569264628635,42.399430735371375,58.4,2.6832815729997477,57.14418556735502,59.65581443264498,183.95,3.619755734707436,182.2559021684358,185.64409783156418,0.8666232638888889,0.0382589374936566,0.8487175299675384,0.8845289978102394,0.2625829228506603,0.05053771973504696,0.23893054194704605,0.2862353037542746,-214.7466,45.42016177165926,-236.00389005105984,-193.48930994894016,0.6365017361111112,0.007305549953233678,0.6330826334861774,0.6399208387360449,381.75,4.327087266340524,379.7248608215165,383.7751391784835,733.25,8.415993546125202,729.3111937760764,737.1888062239236,351.5,4.784844495080824,349.2606238438231,353.7393761561769
Improved QMIX,20,0.5662086520977001,0.045652612195615234,0.5448425718994505,0.5875747322959497,0.43379134790229995,0.04565261219561524,0.4124252677040503,0.4551574281005496,12.70667333333337,0.8909104844080328,12.289714391799862,13.123632274866878,27.74678538620006,0.22039553901321765,27.64363709883119,27.84993367356893,0.0736089069741764,0.04718748961412411,0.051524482031975974,0.09569333191637681,5.706741898148148,1.152258510562219,5.1674683152850704,6.246015481011225,24.143333333333338,7.323526936089312,20.715817221439206,27.57084944522747,45.45,9.799913473779617,40.863499312602464,50.03650068739754,57.716666666666676,8.823330980454223,53.587220655202906,61.846112678130446,0.9448640046296296,0.02690016416266496,0.9322743402664415,0.9574536689928177,0.5360334166410631,0.05619130938492227,0.5097350743333207,0.5623317589488055,123.9234333333333,39.487153479177366,105.44287663656385,142.40399003010276,0.25311053240740744,0.02243410050748615,0.24261105017483148,0.2636100146399834,250.2166666666667,17.8182096881597,241.87748783599696,258.5558454973364,291.5833333333333,25.84408378462403,279.4879298014058,303.6787368652608,41.36666666666667,10.326766447594228,36.53359119745871,46.19974213587462
Published IQL,20,0.4209153625867694,0.04518494339181679,0.39976815812613065,0.4420625670474082,0.5790846374132305,0.04518494339181679,0.5579374329525917,0.6002318418738692,15.26917333333343,0.5323840235563262,15.020009940561268,15.518336726105593,27.74678538620006,0.22039553901321765,27.64363709883119,27.84993367356893,0.024664454445744655,0.005019553087315809,0.022315231287091272,0.02701367760439804,8.88621238425926,0.8119003513405926,8.506231323254468,9.26619344526405,37.69916666666667,2.956648148639571,36.31541273838857,39.082920594944774,59.05,3.8816934267982983,57.23331155495289,60.8666884450471,74.91666666666666,12.534805344688836,69.05019718368287,80.78313614965045,0.9049141589506174,0.0304934480986571,0.8906427859390278,0.9191855319622071,0.38230057719262334,0.05077693734629295,0.3585362390006766,0.40606491538457007,-20.81750555555555,37.957727571032116,-38.58226889376117,-3.052742217349934,0.3251446759259259,0.023369641917118163,0.31420734683583973,0.33608200501601204,301.4666666666667,10.64768047112631,296.48339881122354,306.44993452210986,374.56666666666666,26.921827488520115,361.9668635548874,387.1664697784459,73.1,19.18762393525321,64.11991557333383,82.08008442666616
Published QMIX,20,0.4511256015182668,0.050796731319293395,0.4273519994617956,0.474899203574738,0.5488743984817332,0.05079673131929339,0.525100796425262,0.5726480005382045,13.834173333333402,0.6012195208746436,13.552793936143187,14.115552730523616,27.74678538620006,0.22039553901321765,27.64363709883119,27.84993367356893,0.028061596907712576,0.00982267881708961,0.023464441711678864,0.03265875210374629,9.00496238425926,0.7164627044202204,8.66964751692802,9.3402772515905,37.82166666666668,2.773965746888786,36.52341073420734,39.11992259912602,60.35000000000001,3.029050379051232,58.93236078483231,61.767639215167705,61.86666666666666,8.762226211821659,57.76581856722389,65.96751476610943,0.9081886574074076,0.030944108435046705,0.8937063688659856,0.9226709459488296,0.411829220987115,0.05716349461897103,0.385075881984129,0.438582559990101,15.10238333333333,43.24386649016784,-5.136369173364825,35.341135840031484,0.28172743055555555,0.018938567620699856,0.2728639080721102,0.2905909530390009,272.76666666666677,12.024390417492306,267.13907872286273,278.3942546104708,324.55,21.817229899046218,314.339222099071,334.76077790092904,51.783333333333324,11.639454479690846,46.33590095396914,57.23076571269751
