policy,environment_seed,raw_episode_reward,event_recall,total_energy_consumption,mean_aoi,redundant_sampling,network_coverage,samples_delivered,samples_requested,channel_blocks,sample_action_fraction
Battery + Entropy,4001,91.70233333333333,0.5198237885462555,10.29583999999993,7.399305555555555,48.0,0.9325810185185186,202.0,239.0,37.0,0.2074652777777778
Battery + Entropy,4002,107.8126666666667,0.5374449339207048,10.745839999999909,5.546006944444445,52.0,0.9328703703703705,211.0,230.0,19.0,0.1996527777777778
Battery + Entropy,4003,172.97600000000008,0.6492146596858639,10.695840000000084,5.28125,48.0,0.9661458333333334,210.0,247.0,37.0,0.2144097222222222
Battery + Entropy,4004,191.89999999999995,0.5984555984555985,11.245839999999978,6.651041666666667,54.0,0.9392361111111112,221.0,250.0,29.0,0.2170138888888889
Battery + Entropy,4005,126.34199999999993,0.6369426751592356,9.445839999999903,6.315972222222222,46.0,0.96875,185.0,209.0,24.0,0.1814236111111111
Battery + Entropy,4006,115.43699999999993,0.5647668393782384,10.045839999999982,6.627604166666667,38.0,0.9461805555555556,197.0,225.0,28.0,0.1953125
Battery + Entropy,4007,156.99366666666654,0.6382978723404256,9.445839999999889,8.249131944444445,45.0,0.9832175925925927,185.0,222.0,37.0,0.19270833333333334
Battery + Entropy,4008,160.12466666666677,0.6185567010309279,11.095839999999992,4.237847222222222,43.0,0.9658564814814815,218.0,247.0,29.0,0.2144097222222222
Battery + Entropy,4009,127.1116666666666,0.5668202764976958,10.345839999999914,6.408854166666667,46.0,0.9484953703703702,203.0,237.0,34.0,0.20572916666666666
Battery + Entropy,4010,88.94733333333329,0.526829268292683,9.895839999999977,7.056423611111111,42.0,0.9265046296296295,194.0,223.0,29.0,0.1935763888888889
Battery + Entropy,4011,237.8286666666665,0.6434108527131783,12.59584000000007,3.9522569444444446,54.0,0.9814814814814815,248.0,293.0,45.0,0.2543402777777778
Battery + Entropy,4012,147.0643333333334,0.563265306122449,10.54583999999997,7.013888888888889,48.0,0.941261574074074,207.0,235.0,28.0,0.20399305555555555
Battery + Entropy,4013,140.0043333333333,0.5490196078431373,11.045840000000034,6.234375,52.0,0.9160879629629629,217.0,252.0,35.0,0.21875
Battery + Entropy,4014,178.47800000000004,0.6320754716981132,11.395840000000025,5.559895833333333,49.0,0.9644097222222222,224.0,264.0,40.0,0.22916666666666666
Battery + Entropy,4015,150.54066666666662,0.6243093922651933,9.195839999999954,6.821180555555555,34.0,0.9658564814814815,180.0,208.0,28.0,0.18055555555555555
Battery + Entropy,4016,195.94333333333327,0.6902173913043478,10.895840000000014,5.381076388888889,44.0,0.9794560185185186,214.0,245.0,31.0,0.2126736111111111
Battery + Entropy,4017,160.4326666666666,0.5448275862068965,11.345839999999976,5.673611111111111,53.0,0.9033564814814814,223.0,268.0,45.0,0.2326388888888889
Battery + Entropy,4018,164.2166666666666,0.6218905472636815,10.995840000000037,4.857638888888889,46.0,0.9658564814814814,216.0,254.0,38.0,0.2204861111111111
Battery + Entropy,4019,149.43566666666675,0.6153846153846154,10.595839999999988,6.467881944444445,49.0,0.9545717592592591,208.0,231.0,23.0,0.20052083333333334
Battery + Entropy,4020,103.46599999999998,0.6666666666666666,8.5458399999999,5.690972222222222,32.0,0.9895833333333334,167.0,190.0,23.0,0.16493055555555555
Battery + Entropy,4021,134.534,0.5978260869565217,10.045839999999968,6.198784722222222,39.0,0.9592013888888888,197.0,221.0,24.0,0.1918402777777778
Battery + Entropy,4022,115.7446666666666,0.6174496644295302,9.195839999999926,5.309895833333333,35.0,0.9858217592592593,180.0,211.0,31.0,0.1831597222222222
Battery + Entropy,4023,143.66666666666674,0.5609756097560976,10.845839999999987,5.247395833333333,51.0,0.9346064814814814,213.0,250.0,37.0,0.2170138888888889
Battery + Entropy,4024,173.79500000000002,0.5642857142857143,12.545840000000057,4.517361111111111,62.0,0.9279513888888888,247.0,293.0,46.0,0.2543402777777778
Battery + Entropy,4025,112.97666666666656,0.6258503401360545,9.79583999999991,5.646701388888889,45.0,0.9745370370370369,192.0,222.0,30.0,0.19270833333333334
