policy,environment_seed,raw_episode_reward,event_recall,total_energy_consumption,mean_aoi,redundant_sampling,network_coverage,samples_delivered,samples_requested,channel_blocks,sample_action_fraction
Battery + Entropy,231,173.53766666666667,0.5991561181434599,11.095839999999974,5.177083333333333,46.0,0.9606481481481483,218.0,257.0,39.0,0.2230902777777778
Battery + Entropy,232,125.64366666666666,0.6265060240963856,10.695840000000024,4.902777777777778,45.0,0.9745370370370369,210.0,239.0,29.0,0.2074652777777778
Battery + Entropy,233,136.50333333333327,0.5601659751037344,10.795839999999922,5.066840277777778,52.0,0.9351851851851853,212.0,250.0,38.0,0.2170138888888889
Battery + Entropy,234,159.72533333333334,0.6018099547511312,10.94584,5.280381944444445,51.0,0.9560185185185185,215.0,261.0,46.0,0.2265625
Battery + Entropy,235,244.79066666666662,0.6626984126984127,11.745840000000024,4.517361111111111,61.0,0.9641203703703705,231.0,277.0,46.0,0.2404513888888889
Battery + Entropy,236,150.81999999999994,0.6959459459459459,9.245839999999895,5.800347222222222,48.0,0.9965277777777778,181.0,210.0,29.0,0.18229166666666666
Battery + Entropy,237,234.0966666666667,0.6486486486486487,12.095840000000006,5.485243055555555,64.0,0.9658564814814815,238.0,293.0,55.0,0.2543402777777778
Battery + Entropy,238,124.36233333333331,0.5789473684210527,10.295839999999956,5.521701388888889,41.0,0.9516782407407409,202.0,229.0,27.0,0.1987847222222222
Battery + Entropy,239,192.53900000000007,0.618421052631579,11.595840000000011,5.048611111111111,43.0,0.9626736111111112,228.0,259.0,31.0,0.2248263888888889
Battery + Entropy,240,145.48233333333343,0.5244299674267101,11.545840000000062,5.697916666666667,55.0,0.8761574074074073,227.0,258.0,31.0,0.22395833333333334
Battery + Entropy,241,90.87366666666665,0.646551724137931,9.345839999999837,5.8125,36.0,0.9884259259259258,183.0,206.0,23.0,0.17881944444444445
Battery + Entropy,242,4.6696666666666635,0.4444444444444444,8.19583999999981,7.750868055555555,31.0,0.9398148148148149,160.0,176.0,16.0,0.1527777777777778
Battery + Entropy,243,133.6069999999999,0.6280487804878049,9.795840000000007,5.8984375,40.0,0.9765625,192.0,214.0,22.0,0.1857638888888889
Battery + Entropy,244,165.98533333333324,0.5618374558303887,11.345839999999988,6.770833333333333,55.0,0.9178240740740742,223.0,261.0,38.0,0.2265625
Battery + Entropy,245,181.7006666666667,0.7125,10.345840000000091,5.297743055555555,40.0,0.9936342592592593,203.0,234.0,31.0,0.203125
Battery + Entropy,246,151.68133333333333,0.6424581005586593,9.795839999999956,6.750868055555555,46.0,0.9629629629629631,192.0,219.0,27.0,0.19010416666666666
Battery + Entropy,247,212.979,0.6,12.545840000000075,4.032986111111111,70.0,0.9565972222222222,247.0,309.0,62.0,0.2682291666666667
Battery + Entropy,248,114.96766666666666,0.5306122448979592,10.245839999999944,7.973090277777778,47.0,0.9207175925925924,201.0,231.0,30.0,0.20052083333333334
Battery + Entropy,249,122.57066666666663,0.5707070707070707,10.145839999999925,7.028645833333333,34.0,0.9519675925925927,199.0,231.0,32.0,0.20052083333333334
Battery + Entropy,250,181.34766666666678,0.5930232558139535,10.995839999999985,6.411458333333333,57.0,0.9537037037037037,216.0,260.0,44.0,0.22569444444444445
Entropy Threshold,231,172.11866666666668,0.5991561181434599,11.245839999999973,5.098958333333333,48.0,0.9606481481481483,221.0,262.0,41.0,0.22743055555555555
