policy,training_seed,environment_seed,scenario,regime,raw_episode_reward,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,samples_delivered,samples_requested,sample_rejections,channel_blocks,sleep_actions,sample_actions,sample_action_fraction
Extended QMIX,101.0,251,volatile,coordinated,217.2826666666667,0.6681818181818182,0.3318181818181818,12.395840000000078,27.542592320189158,0.24912690935260118,4.859375,17.0,32.0,57.0,0.9641203703703705,0.644207702020202,244,288,0,44,864,288,0.25
Extended QMIX,101.0,252,volatile,coordinated,144.9920000000001,0.6710526315789473,0.32894736842105265,11.09584000000005,28.339202192280926,0.28889180497176303,5.068576388888889,18.0,39.0,40.0,0.9826388888888888,0.6594024122807017,218,252,0,34,900,252,0.21875
Extended QMIX,101.0,253,volatile,coordinated,112.6489999999999,0.6936936936936937,0.3063063063063063,10.09583999999997,27.788916963476087,0.2175939947979562,5.019965277777778,17.0,30.0,36.0,0.9965277777777778,0.691285035035035,198,216,0,18,936,216,0.1875
Extended QMIX,101.0,254,volatile,coordinated,117.67099999999994,0.5656108597285068,0.4343891402714932,12.195840000000079,27.82388285000191,0.2591653027708488,4.474826388888889,15.0,37.0,56.0,0.9513888888888888,0.5381158873805932,240,292,0,52,860,292,0.2534722222222222
Extended QMIX,101.0,255,volatile,coordinated,102.96999999999994,0.5895953757225434,0.4104046242774566,11.345840000000011,27.953304344804867,0.2100381516671458,5.758680555555555,22.0,47.0,49.0,0.9809027777777778,0.5783357418111754,223,259,0,36,893,259,0.2248263888888889
Extended QMIX,101.0,256,volatile,coordinated,209.45700000000014,0.6578947368421053,0.3421052631578947,12.74584000000003,27.687588439428538,0.14014261106498785,5.615451388888889,20.0,53.0,63.0,0.9913194444444444,0.6521838450292398,251,311,0,60,841,311,0.2699652777777778
Extended QMIX,101.0,257,volatile,coordinated,175.7726666666668,0.6118143459915611,0.38818565400843885,12.745840000000019,27.963188607256747,0.015026201991701928,4.811631944444445,16.0,47.0,61.0,0.9780092592592593,0.5983600953273949,251,299,0,48,853,299,0.2595486111111111
Extended QMIX,101.0,258,volatile,coordinated,115.97266666666664,0.5261044176706827,0.4738955823293173,11.39584000000005,27.984731946618965,0.2935602948906716,5.436631944444445,20.450000000000045,42.0,47.0,0.921585648148148,0.48485028075264014,224,267,0,43,885,267,0.23177083333333334
Extended QMIX,101.0,259,volatile,coordinated,135.16966666666664,0.55,0.44999999999999996,12.395840000000064,27.893626635205926,0.17618954614626964,4.5625,15.450000000000045,39.0,62.0,0.9389467592592591,0.5164207175925926,244,285,0,41,867,285,0.24739583333333334
Extended QMIX,101.0,260,volatile,coordinated,192.53066666666672,0.5847750865051903,0.4152249134948097,13.395840000000044,27.697254408874727,0.02606993208173902,5.381944444444445,23.0,50.0,66.0,0.9502314814814814,0.5556716967832884,264,330,0,66,822,330,0.2864583333333333
Extended QMIX,101.0,261,volatile,coordinated,236.90400000000008,0.7028301886792453,0.2971698113207547,12.54584000000016,27.742416587635926,0.4566057734872119,5.131076388888889,18.0,40.0,53.0,0.9809027777777778,0.6894080843815514,247,287,0,40,865,287,0.24913194444444445
Extended QMIX,101.0,262,volatile,coordinated,96.69200000000001,0.5773809523809523,0.42261904761904767,11.145839999999986,27.942672104914493,0.016475880741579612,4.909722222222222,16.450000000000045,32.0,45.0,0.9565972222222222,0.5523210152116401,219,242,0,23,910,242,0.21006944444444445
Extended QMIX,101.0,263,volatile,coordinated,242.986,0.6182432432432432,0.3817567567567568,13.995840000000115,28.040497435208525,0.15858555482563264,4.6328125,18.0,38.0,66.0,0.9479166666666666,0.5860430743243242,276,332,0,56,820,332,0.2881944444444444
Extended QMIX,101.0,264,volatile,coordinated,140.37999999999985,0.6368715083798883,0.36312849162011174,11.595840000000086,27.75201512515734,0.3586359272728031,5.9609375,20.0,59.0,55.0,0.9861111111111112,0.6280260707635009,228,258,0,30,894,258,0.22395833333333334
Extended QMIX,101.0,265,volatile,coordinated,100.29433333333324,0.5947712418300654,0.40522875816993464,10.145839999999902,27.98375888147913,0.20193667822406813,5.388020833333333,19.0,32.0,38.0,0.9846643518518517,0.5856500393367223,199,231,0,32,921,231,0.20052083333333334
Extended QMIX,101.0,266,volatile,coordinated,156.12999999999997,0.6018518518518519,0.39814814814814814,11.39584000000001,27.890752547560385,0.21925420730004497,6.839409722222222,26.450000000000045,64.0,49.0,0.9557291666666666,0.5752073688271605,224,259,0,35,893,259,0.2248263888888889
Extended QMIX,101.0,267,volatile,coordinated,66.87299999999999,0.5070422535211268,0.49295774647887325,11.695839999999986,27.718363271717983,0.09265991775073056,5.899305555555555,23.0,41.0,54.0,0.9175347222222222,0.4652288732394366,230,261,0,31,891,261,0.2265625
Extended QMIX,101.0,268,volatile,coordinated,104.99300000000004,0.5,0.5,12.295840000000007,27.939534635875663,0.07870594623134565,6.871527777777778,32.0,50.0,60.0,0.9114583333333334,0.4557291666666667,242,291,0,49,861,291,0.2526041666666667
Extended QMIX,101.0,269,volatile,coordinated,134.63099999999997,0.6337209302325582,0.36627906976744184,11.49584000000006,27.698701959345428,0.34787074117345484,4.407118055555555,14.0,28.0,48.0,0.9774305555555556,0.6194182009043928,226,273,0,47,879,273,0.23697916666666666
Extended QMIX,101.0,270,volatile,coordinated,61.38600000000002,0.5266666666666666,0.4733333333333334,9.495839999999896,27.852182761709685,0.2087088848475548,6.199652777777778,20.0,45.0,37.0,0.9444444444444444,0.49740740740740735,186,205,0,19,947,205,0.1779513888888889
Extended QMIX,102.0,251,volatile,coordinated,216.51966666666672,0.6681818181818182,0.3318181818181818,12.545840000000087,27.542592320189158,0.24912690935260118,4.827256944444445,17.0,32.0,58.0,0.9641203703703705,0.644207702020202,247,291,0,44,861,291,0.2526041666666667
Extended QMIX,102.0,252,volatile,coordinated,144.20400000000004,0.6710526315789473,0.32894736842105265,11.245840000000047,28.339202192280926,0.2754683844508238,5.058159722222222,18.0,39.0,41.0,0.9826388888888888,0.6594024122807017,221,255,0,34,897,255,0.22135416666666666
Extended QMIX,102.0,253,volatile,coordinated,120.18599999999992,0.7117117117117117,0.28828828828828834,10.045839999999973,27.788916963476087,0.23009399479795617,5.151041666666667,17.0,32.0,34.0,0.9947916666666666,0.7080048798798798,197,214,0,17,938,214,0.1857638888888889
